abort*;arrêter, abandonner
to access something*;accéder à qqch
according to*;selon, en fonction de
accuracy*;exactitude
accurate*;exact, précis
to achieve*;atteindre, réussir, réaliser
to acknowledge*;reconnaître
acknowledge/negative acknowledge (ACK/NAK);accusé de réception positif/négatif
to act as;fonctionner comme, jouer le rôle de
actual*;réel
to actuate;faire marcher, commander
actuator;mécanisme de commande
adaptative routing;acheminement adaptatif
add-on*;une extension
to add;ajouter
addressing;adressage
to adjust;règler, mettre au point
to aim at*;viser, avoir pour but
aim*;but, objectif
aliasing;effet de dentelure, crénelage
to allow somebody to do something*;permettre, autoriser
alternating current;courant alternatif
amount*;quantité / montant
amp;ampère
to analyse;analyser
analysis;analyse
to append;ajouter, apposer
applet;une application miniature
appliance*;appareil
to apply power*;mettre sous tension
to apply*;appliquer, mettre en application
architecture;architecture
array;un ensemble
area*;zone, endroit
as result of;à la suite de (conséquence)
to assess*;estimer, évaluer
to assign*;affecter, assigner
asynchronous;asynchrone
attachment* / attached file;une fichier attaché
available*;disponible
average*;moyenne (nom), moyen (adj.)
to avoid doing something*;éviter
backbone;colonne vertébrale, réseau principal
to back up*;faire une sauvegarde de sécurité
bandwidth*;bande passante, largeur de bande
batch*;série d'opérations, un lot
battery;pile, batterie
benchmark*;test de performance
bias*;polarisation
binary character;caractère binaire
binary digit*;symbole/chiffre binaire
to bind (bound, bound);lier, attacher
bitmap;point par point (format de dessin)
block diagram;schéma fonctionnel
bold (character);gras
bookmark*;un signet, un marque page
to boost*;amplifier, suralimenter
to boot*;amorcer, initialiser (système), démarrer
both*;tous les deux (sans exception)
both-way communication;bidirectionnel simultané (mode)
bounce;rebond
bps = bits per second;bits par seconde
to break/broke/broken*;interrompre/ casser
breakdown*;panne, claquage
to break down*;tomber en panne
breaker;disjoncteur
broadband*;à large bande, à haut débit
to broadcast*;émettre, diffuser
to browse*;parcourir, naviguer
browser*;logiciel de navigation, navigateur
buffer storage / memory;mémoire tampon
bug*;erreur
bundle*;paquet, lot, bouquet
built-in*;incorporé
to burn*;graver
business intelligence;veille économique
busy*;occupé
bypass*;déviation, shunt
byte*;octet
C.V. (GB), résumé (US);C.V.
cache (memory/storage);mémoire cache
calibration;étalonnage
to cancel*;annuler
capability;capacité, contenance
to carry out*;effectuer, réaliser
to carry*;porter
case*;boîtier, unité centrale
to cause somebody to do something*;provoquer, être la cause de
cell*;une cellule
channel*;canal, une voie de transmission
character;un caractère
to check*;vérifier
checkbox;une case à cocher
checksum;total de contrôle
chip*;puce
chip socket;support de circuit intégré
chunk;un morceau
circuit switched connection;liaison commutée
circuit switching;commutation de circuit
to clear*;remettre à zéro, effacer
clear-to-send;autorisation d'émettre
clock rates;vitesse d'horloge
to close*;fermer
cluster;groupe, grappe
company, firm*;entreprise, société
compiler*;compilateur
to complete;terminer
complete;fini, achevé
compliant*;conforme, compatible, accommodant
component*;composant
computer*;ordinateur, calculateur
computer-assisted design, CAD;conception assistée par ordinateur, CAO
computer science*;informatique
condenser;condensateur
conducting;à l'état passant
to configure*;configurer
to connect*;brancher
connection*;une connexion
connection diagram;schémde câblage
